stratum,rank,siglum,citations
attested,1,RV.,8798
attested,2,Pāṇ.,8701
attested,3,MBh.,6161
attested,4,Mn.,3909
attested,5,AV.,2496
attested,6,Dhātup.,1848
attested,7,R.,1829
attested,8,BhP.,1817
attested,9,ŚBr.,1778
attested,10,Hariv.,1181
attested,11,Kathās.,974
attested,12,Uṇ.,773
attested,13,Suśr.,773
attested,14,Ragh.,764
attested,15,VS.,753
attested,16,Yājñ.,715
attested,17,Rājat.,684
attested,18,VarBṛS.,613
attested,19,Śiś.,583
attested,20,TS.,578
attested,21,RTL.,511
attested,22,Nir.,506
attested,23,IW.,467
attested,24,Naigh.,465
attested,25,AitBr.,307
bare,1,MBh.,22990
bare,2,RV.,9707
bare,3,R.,9049
bare,4,BhP.,6979
bare,5,Kathās.,5926
bare,6,Suśr.,5690
bare,7,ŚBr.,5493
bare,8,Hariv.,5229
bare,9,AV.,4971
bare,10,Kāv.,4662
bare,11,Mn.,3519
bare,12,VarBṛS.,2958
bare,13,Rājat.,2837
bare,14,TS.,2663
bare,15,Pañcat.,2423
bare,16,VS.,2300
bare,17,KātyŚr.,2291
bare,18,VP.,1980
bare,19,Ragh.,1926
bare,20,Buddh.,1866
bare,21,Kāś.,1736
bare,22,Pat.,1630
bare,23,Sāh.,1604
bare,24,Br.,1590
bare,25,MārkP.,1484
hedge,1,L.,40213
authority,1,W.,8286
authority,2,MW.,5710
authority,3,Cat.,5302
relative,1,ib.,10094
