root,mw_classes,whitney_classes,n_homonyms,mw_homonym_records,verdict
aṇṭh,1,6,1,"aRW: cl. 1. Ā. aRWate, AnaRWe, aRWitum, to go, move, tend, L. [(no Westergaard ref)]",
carv,1 10,4,1,"carv: (cf. √ cUrR) cl. 10. carvayati (inf. ˚vitum; Pass. ˚vyate cl. 1. ˚vati, Dhātup. xv, 70) to grind with the teeth, masticate, chew, Mṛcch. ii, 12; Pañca [Dhātup. 15.70]",
cūṣ,1,4,1,"cUz: cl. 1. ˚zati, to suck, suck out, Dhātup. xvii, 22 : Pass. ˚zyate, to be sucked up or dried up (by internal inflammation), Suśr. i f. : Caus. ˚zayati,  [Dhātup. 17.22]",
guph,6,1,0,(no MW genuineroot record),
idh,7,1,0,(no MW genuineroot record),
kal,10,1 3,2,"kal: cl. 10. P. (rarely Ā.) kAlayati (˚te), to push on, drive forward, drive before one's self or away, carry off, MBh.; BhP.; to go after (with hostile in [(no Westergaard ref)] || kal: P. (rarely Ā.) kalayati (˚te), to impel, incite, urge on MBh.; BhP. &c.; to bear, carry, Gīt.; Śāntiś. &c.; to betake one's self to, Naiṣ. ii, 104; to [(no Westergaard ref)]",
knū,1,4,0,(no MW genuineroot record),
kṛp,6 10,1,1,"kfp: cl. 6. Ā. kfpate (impf. akf-panta; aor. 3. pl. akfpran and cakfpa/nta, 3. sg. akrapizwa; pr. p. kf/pamARa), to mourn, long for (acc.), RV.; to lament, [Dhātup. 35.17]",
kṣā,1,4,0,(no MW genuineroot record),
majj,6,1,1,"majj: cl. 6. P. (Dhātup. xxviii, 122) majjati (Ved. ma/jjati, ep. also ˚te; pf. mamajja [2. sg. mamajjiTa, or mamaNkTa] MBh.; aor. [mA] majjIs, ib.; amANkzI [Dhātup. 28.122]",
mlā,1,2 4,0,(no MW genuineroot record),
mṛch,6,1,0,(no MW genuineroot record),
paś,10,4,1,"paS: only Pres. P. Ā. pa/Syati, ˚te (cf. √ dfS and Pāṇ. vii, 3, 78), to see (with na ‘to be blind’), behold, look at, observe, perceive, notice, RV. &c. &c [(no Westergaard ref)]",
pyā,1,4,0,(no MW genuineroot record),
sphā,1,4,0,(no MW genuineroot record),
spṛh,10,6,1,"spfh: (connected with √ sparD, spfD) cl. 10. P. (Dhātup. xxxv, 19) spfha/yati (mc. also ˚te; pr. p. spfhayat or spfhayamARa, once in Āpast. spfhantI; pf. sp [Dhātup. 35.19]",
styā,1,4,0,(no MW genuineroot record),
taḍ,10,2,1,"taq: cl. 10. tAqayati (perf. ˚qayAmAsa, Kathās., twice tatAqa, BhP. vi f.; Pass. tAqyate) to beat, strike, knock, strike (with arrows), wound, punish, Nir. [Dhātup. 33.126]",
trā,1,2 4,0,(no MW genuineroot record),
tul,10,1,1,"tul: cl. 10. tolayati, or tul˚ (only tul˚ also fig.; Ā. MBh.) to lift up, raise, Hariv.; R.; Bhaṭṭ. (fut. Pass. tolayizyate); to determine the weight of an [(no Westergaard ref)]",
ukṣ,1,6,1,"ukz: cl. 1. P. Ā. ukza/ti, ukza/te (p. u/kzat, RV. i, 114, 7, and ukzamARa, AV. iii, 12, 1; RV. iv, 42, 4 &c.; ukzAM-cakAra [Bhaṭṭ.; for vava/kza &c. See √ [(no Westergaard ref)]",
vruḍ,6,1,0,(no MW genuineroot record),
vyā,1,4,0,(no MW genuineroot record),
śyā,1,4,0,(no MW genuineroot record),
ḍamb,10,1,0,(no MW genuineroot record),
ṭaṅk,10,1,0,(no MW genuineroot record),
